name,id,mean_duration,mean_game,total,game_played
RICK DIPIETRO,8468481.0,755.625,57.57142857142857,403.0,7
DANY HEATLEY,8468482.0,48.28088235294118,20.26604938271605,1641.55,81
MARIAN GABORIK,8468483.0,52.95580404685836,21.809429824561402,1657.5166666666667,76
ROSTISLAV KLESLA,8468484.0,43.88531468531468,20.114102564102563,522.9666666666667,26
RAFFI TORRES,8468485.0,43.389458272327964,13.531963470319633,987.8333333333334,73
SCOTT HARTNELL,8468486.0,44.061707035755475,15.720781893004114,1273.3833333333334,81
TREVOR GILLIES,8467579.0,33.08247422680412,3.8202380952380954,53.483333333333334,14
RON HAINSEY,8468493.0,49.719831618334894,22.14604166666667,1771.6833333333334,80
CHRIS KUNITZ,8470543.0,50.66596638655462,16.40612244897959,803.9,49
BROOKS ORPIK,8468498.0,48.65339315759955,20.080787037037037,1445.8166666666666,72
ALEX FROLOV,8468500.0,46.32833505687694,18.436008230452675,1493.3166666666666,81
ANTON VOLCHENKOV,8468501.0,49.90577889447236,20.690104166666668,1324.1666666666667,64
DAVID HALE,8468502.0,41.68441064638783,14.055128205128204,548.15,39
NATHAN SMITH,8468503.0,36.834782608695654,7.844444444444445,70.6,9
BRAD BOYES,8468504.0,44.55393743257821,16.789227642276423,1376.7166666666667,82
STEVE OTT,8468505.0,45.72564734895191,17.168287037037036,1236.1166666666666,72
BRIAN SUTHERBY,8468506.0,37.873581847649916,8.654814814814815,389.46666666666664,45
JUSTIN WILLIAMS,8468508.0,48.194194194194196,16.376190476190477,802.4333333333333,49
NIKLAS KRONWALL,8468509.0,46.64818920916482,21.914930555555554,1051.9166666666667,48
JEFF TAFFE,8468510.0,38.02508960573477,8.41984126984127,176.81666666666666,21
DEAN ARSENE,8467583.0,42.4327731092437,12.947435897435897,168.31666666666666,13
NICK SCHULTZ,8468513.0,41.36621454993835,20.967499999999998,1677.4,80
BRAD WINCHESTER,8468515.0,38.899441340782126,9.06640625,580.25,64
ANDY HILBERT,8468517.0,39.54237288135593,9.720833333333333,38.88333333333333,4
TOMAS KOPECKY,8468518.0,43.327497425334705,9.475450450450449,701.1833333333333,74
JOHAN MOTIN,8474662.0,40.38095238095238,14.133333333333333,14.133333333333333,1
KURTIS FOSTER,8468520.0,45.61596009975062,17.175586854460096,1219.4666666666667,71
MATT PETTINGER,8468523.0,38.2171052631579,10.757407407407408,96.81666666666666,9
ILYA BRYZGALOV,8468524.0,928.4192307692308,58.30652173913043,4023.15,69
JARRET STOLL,8468526.0,43.80230642504119,18.21095890410959,1329.4,73
TOM PREISSING,8470575.0,38.28048780487805,13.079166666666667,52.31666666666667,4
FREDDY MEYER,8470578.0,48.083644510828975,16.766666666666666,1073.0666666666666,64
JAMES WRIGHT,8474674.0,39.33059788980071,11.648958333333333,559.15,48
JED ORTMEYER,8470580.0,38.79625468164794,11.509555555555556,863.2166666666667,75
ANDREAS LILJA,8468534.0,45.36631016042781,14.139166666666666,282.78333333333336,20
ANTOINE VERMETTE,8468535.0,42.83034543069523,20.154938271604937,1632.55,81
WADE DUBIELEWICZ,8470584.0,670.1111111111111,33.50555555555555,100.51666666666667,3
ANDREI LOKTIONOV,8474681.0,47.46666666666667,11.866666666666667,11.866666666666667,1
DUSTIN TOKARSKI,8474682.0,887.0,22.175,44.35,2
DAN ELLIS,8468540.0,935.2636363636364,55.31129032258064,1714.65,31
PAUL MARTIN,8468542.0,47.29299363057325,22.5,495.0,22
MARC-ANDRE FLEURY,8470594.0,906.8704453441295,56.56489898989899,3733.2833333333333,66
ERIC STAAL,8470595.0,49.50289017341041,20.68599033816425,1427.3333333333333,69
NATHAN HORTON,8470596.0,48.51518761167362,20.886410256410258,1357.6166666666666,65
