name,id,mean_duration,mean_game,total,game_played
JOEL L'ESPERANCE,8480769,39.9,9.420833333333333,113.05,12
MICHAEL STONE,8474628,41.68724279835391,16.07936507936508,337.6666666666667,21
SHELDON REMPAL,8480776,40.648648648648646,8.355555555555556,25.066666666666666,3
MICHAEL HUTCHINSON,8474636,872.8275862068965,52.733333333333334,421.8666666666667,8
ADAM HENRIQUE,8474641,44.10372608257805,16.220370370370368,729.9166666666666,45
OLIVER WAHLSTROM,8480789,44.69477911646587,12.646590909090909,556.45,44
BRADEN HOLTBY,8474651,833.2872340425532,62.16587301587301,1305.4833333333333,21
JOEL FARABEE,8480797,42.8794498381877,16.06030303030303,883.3166666666667,55
PHILIPP KURASHEV,8480798,47.720670391061454,13.1820987654321,711.8333333333334,54
QUINN HUGHES,8480800,58.62490622655664,23.258035714285715,1302.45,56
BRADY TKACHUK,8480801,47.07874617737003,18.327083333333334,1026.3166666666666,56
RYAN MCLEOD,8480802,45.946107784431135,12.788333333333332,127.88333333333334,10
EVAN BOUCHARD,8480803,49.088,14.60952380952381,204.53333333333333,14
ISAC LUNDESTROM,8480806,43.115212527964204,15.66869918699187,642.4166666666666,41
MATTIAS SAMUELSSON,8480807,52.136546184738954,18.030555555555555,216.36666666666667,12
JOE VELENO,8480813,48.72043010752688,15.103333333333333,75.51666666666667,5
NICOLAS BEAUDIN,8480814,49.55205047318612,13.778947368421052,261.8,19
TJ BRODIE,8474673,49.50939597315436,21.95505952380952,1229.4833333333333,56
K'ANDRE MILLER,8480817,48.00140449438202,21.494968553459117,1139.2333333333333,53
FILIP ZADINA,8480821,51.467708333333334,16.80578231292517,823.4833333333333,49
MARTIN KAUT,8480822,42.08771929824562,7.996666666666667,39.983333333333334,5
DUSTIN TOKARSKI,8474682,931.1914893617021,56.11025641025641,729.4333333333333,13
DEREK GRANT,8474683,41.890756302521005,14.44927536231884,664.6666666666666,46
JESPERI KOTKANIEMI,8480829,45.51081081081081,15.034821428571428,841.95,56
MATT CALVERT,8474685,45.63157894736842,13.647222222222222,245.65,18
ANDREI SVECHNIKOV,8480830,49.164685908319186,17.55030303030303,965.2666666666667,55
GREG PATERYN,8474688,47.11739130434783,13.893589743589745,180.61666666666667,13
VITALI KRAVTSOV,8480833,44.538922155688624,12.396666666666667,247.93333333333334,20
MARC-ANDRE FLEURY,8470594,968.390977443609,59.62777777777777,2146.6,36
ERIC STAAL,8470595,45.80234833659491,14.720125786163521,780.1666666666666,53
ALEC REGULA,8480831,51.81395348837209,12.377777777777776,37.13333333333333,3
RASMUS DAHLIN,8480839,58.485966319165996,21.705952380952382,1215.5333333333333,56
RYAN SUTER,8470600,55.101190476190474,22.040476190476188,1234.2666666666667,56
MARK BOROWIECKI,8474697,40.69794050343249,13.473484848484848,296.4166666666667,22
BRAYDON COBURN,8470601,43.03764705882353,16.044736842105262,304.85,19
JEFF CARTER,8470604,44.10752688172043,16.45864197530864,888.7666666666667,54
RASMUS KUPARI,8480845,44.20183486238532,11.471428571428572,80.3,7
DUSTIN BROWN,8470606,48.804739336492894,17.51326530612245,858.15,49
GRIGORI DENISENKO,8480844,43.608695652173914,11.940476190476192,83.58333333333333,7
TY DELLANDREA,8480848,40.30252100840336,12.297435897435896,319.73333333333335,26
BARRETT HAYTON,8480849,43.08482142857143,11.489285714285716,160.85,14
ZACH PARISE,8470610,49.8768406961178,13.799259259259259,620.9666666666667,45
RYAN GETZLAF,8470612,47.380116959064324,16.879166666666666,810.2,48
MATT MARTIN,8474709,42.96344339622642,11.244753086419754,607.2166666666667,54
LIAM FOUDY,8480853,47.47120418848168,12.593055555555557,302.23333333333335,24
BRENT BURNS,8470613,54.52638112973308,26.143452380952382,1464.0333333333333,56
CAM ATKINSON,8474715,48.105980317940954,18.913095238095238,1059.1333333333334,56
JARED SPURGEON,8474716,54.70923076923077,21.951234567901235,1185.3666666666666,54
COREY PERRY,8470621,46.11073059360731,13.739115646258504,673.2166666666667,49
KEVIN BAHL,8480860,46.13636363636363,16.916666666666668,118.41666666666667,7
NOAH DOBSON,8480865,47.41351074718526,16.78369565217391,772.05,46
LOUI ERIKSSON,8470626,37.63,8.959523809523809,62.71666666666667,7
ADAM BOQVIST,8480871,51.69740634005764,17.0847619047619,597.9666666666667,35
