name,id,mean_duration,mean_game,total,game_played
JIMMY HAYES,8474625,46.08814814814815,13.826444444444444,1036.9833333333333,75
MARIAN GABORIK,8468483,46.20229007633588,14.944444444444445,807.0,54
JORI LEHTERA,8474627,40.14323328067404,16.082700421940928,1270.5333333333333,79
MICHAEL STONE,8474628,44.93288888888889,22.466444444444445,1684.9833333333333,75
SCOTT HARTNELL,8468486,45.483374384236456,15.583333333333334,1231.0833333333333,79
MICHAEL HUTCHINSON,8474636,889.3177570093458,52.865,1585.95,30
RON HAINSEY,8468493,48.513525498891354,22.509876543209877,1823.3,81
ANDREW CAMPBELL,8474638,34.46280991735537,11.583333333333334,69.5,6
CHRIS KUNITZ,8470543,42.956382978723404,16.824583333333333,1345.9666666666667,80
ADAM HENRIQUE,8474641,46.926528599605525,19.826458333333335,1586.1166666666666,80
LANCE BOUMA,8474642,38.23586040914561,12.03560606060606,529.5666666666667,44
BROOKS ORPIK,8468498,46.635406698564594,19.81056910569106,812.2333333333333,41
BRAD BOYES,8468504,41.1192748091603,11.970277777777778,718.2166666666667,60
STEVE OTT,8468505,38.10803324099723,10.918253968253968,229.28333333333333,21
BRADEN HOLTBY,8474651,948.440329218107,58.199747474747475,3841.1833333333334,66
JUSTIN WILLIAMS,8468508,48.16696061140505,16.652845528455284,1365.5333333333333,82
NIKLAS KRONWALL,8468509,44.95531914893617,22.009375,1408.6,64
NICK SCHULTZ,8468513,40.62552398695855,17.947119341563788,1453.7166666666667,81
DENNIS SEIDENBERG,8469619,47.01655629139073,19.397540983606557,1183.25,61
DAVID WARSOFSKY,8474660,44.319607843137256,17.12348484848485,376.71666666666664,22
MICHAL JORDAN,8474661,44.32205683355886,15.16388888888889,545.9,36
DALE WEISE,8474668,40.64509246088193,13.414788732394365,952.45,71
JARRET STOLL,8468526,39.096989966555185,12.177083333333334,974.1666666666666,80
TJ BRODIE,8474673,50.3531086853346,25.26047619047619,1768.2333333333333,70
GUSTAV NYQUIST,8474679,45.400243309002434,15.170325203252032,1243.9666666666667,82
ANTOINE VERMETTE,8468535,43.83766608896592,16.641008771929826,1264.7166666666667,76
DUSTIN TOKARSKI,8474682,969.2857142857143,37.69444444444444,226.16666666666666,6
DEREK GRANT,8474683,36.39776951672862,10.87888888888889,163.18333333333334,15
MATT CALVERT,8474685,44.7407157326131,15.128082191780823,1104.35,73
PAUL MARTIN,8468542,49.87455012853471,20.727777777777778,1616.7666666666667,78
GREG PATERYN,8474688,45.842737094837936,16.748684210526317,636.45,38
MARC-ANDRE FLEURY,8470594,952.9954128440367,59.69913793103448,3462.55,58
ERIC STAAL,8470595,46.52870090634441,18.555421686746985,1540.1,83
THOMAS VANEK,8470598,48.33472803347281,15.610810810810811,1155.2,74
MILAN MICHALEK,8470599,46.347177848775296,16.118518518518517,725.3333333333334,45
RYAN SUTER,8470600,54.273533950617285,28.592886178861786,2344.616666666667,82
MARK BOROWIECKI,8474697,42.10967250571211,14.626984126984127,921.5,63
DION PHANEUF,8470602,44.60262417994377,22.34319248826291,1586.3666666666666,71
BRAYDON COBURN,8470601,46.615072463768115,16.752291666666668,1340.1833333333334,80
JEFF CARTER,8470604,47.56662933930571,18.388311688311685,1415.9,77
BRENT REGNER,8474698,43.4375,11.583333333333334,81.08333333333333,7
DUSTIN BROWN,8470606,44.85512965050733,16.173373983739836,1326.2166666666667,82
BRENT SEABROOK,8470607,44.97849898580122,22.813168724279834,1847.8666666666666,81
MIKE BLUNDEN,8471663,41.87096774193548,8.653333333333334,173.06666666666666,20
STEVE BERNIER,8470609,40.521303258145366,11.227777777777778,269.46666666666664,24
ZACH PARISE,8470610,49.770270270270274,19.291904761904764,1350.4333333333334,70
ERIC FEHR,8470611,38.09372236958444,13.055757575757577,718.0666666666667,55
RYAN GETZLAF,8470612,47.70619375330863,19.505844155844155,1501.95,77
