,JARED MCCANN,BRYAN RUST,KRIS LETANG,SIDNEY CROSBY,JAKE GUENTZEL
JARED MCCANN,0.0,5.0,8.0,10.0,6.0
BRYAN RUST,5.0,0.0,11.0,27.0,33.0
KRIS LETANG,8.0,11.0,0.0,20.0,17.0
SIDNEY CROSBY,10.0,27.0,20.0,0.0,41.0
JAKE GUENTZEL,6.0,33.0,17.0,41.0,0.0
