,FILIP ZADINA,ADAM ERNE,ROBBY FABBRI,ANTHONY MANTHA,DYLAN LARKIN
FILIP ZADINA,0.0,8.0,3.0,0.0,7.0
ADAM ERNE,8.0,0.0,0.0,0.0,4.0
ROBBY FABBRI,3.0,0.0,0.0,4.0,7.0
ANTHONY MANTHA,0.0,0.0,4.0,0.0,7.0
DYLAN LARKIN,7.0,4.0,7.0,7.0,0.0
