,SEAN MONAHAN,ANDREW MANGIAPANE,ELIAS LINDHOLM,MATTHEW TKACHUK,JOHNNY GAUDREAU
SEAN MONAHAN,0.0,2.0,5.0,9.0,17.0
ANDREW MANGIAPANE,2.0,0.0,7.0,6.0,2.0
ELIAS LINDHOLM,5.0,7.0,0.0,26.0,27.0
MATTHEW TKACHUK,9.0,6.0,26.0,0.0,28.0
JOHNNY GAUDREAU,17.0,2.0,27.0,28.0,0.0
