,TIM STÜTZLE,JOSH NORRIS,CONNOR BROWN,BRADY TKACHUK,DRAKE BATHERSON
TIM STÜTZLE,0.0,5.0,4.0,3.0,15.0
JOSH NORRIS,5.0,0.0,7.0,22.0,12.0
CONNOR BROWN,4.0,7.0,0.0,7.0,0.0
BRADY TKACHUK,3.0,22.0,7.0,0.0,20.0
DRAKE BATHERSON,15.0,12.0,0.0,20.0,0.0
