,TAGE THOMPSON,RASMUS DAHLIN,CASEY MITTELSTADT,VICTOR OLOFSSON,SAM REINHART
TAGE THOMPSON,0.0,0.0,5.0,0.0,2.0
RASMUS DAHLIN,0.0,0.0,2.0,8.0,11.0
CASEY MITTELSTADT,5.0,2.0,0.0,1.0,3.0
VICTOR OLOFSSON,0.0,8.0,1.0,0.0,27.0
SAM REINHART,2.0,11.0,3.0,27.0,0.0
