,SHEA THEODORE,CHANDLER STEPHENSON,WILLIAM KARLSSON,ALEX TUCH,JONATHAN MARCHESSAULT,MAX PACIORETTY,MARK STONE
SHEA THEODORE,0.0,3.0,6.0,6.0,6.0,13.0,12.0
CHANDLER STEPHENSON,0.0,0.0,0.0,4.0,2.0,18.0,28.0
WILLIAM KARLSSON,0.0,0.0,0.0,4.0,32.0,1.0,7.0
ALEX TUCH,0.0,0.0,0.0,0.0,6.0,3.0,5.0
JONATHAN MARCHESSAULT,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MAX PACIORETTY,0.0,0.0,0.0,0.0,0.0,0.0,48.0
MARK STONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
