,TREVOR MOORE,ALEX IAFALLO,DUSTIN BROWN,ADRIAN KEMPE,ANZE KOPITAR
TREVOR MOORE,0.0,0.0,0.0,6.0,0.0
ALEX IAFALLO,0.0,0.0,16.0,9.0,24.0
DUSTIN BROWN,0.0,16.0,0.0,6.0,27.0
ADRIAN KEMPE,6.0,9.0,6.0,0.0,12.0
ANZE KOPITAR,0.0,24.0,27.0,12.0,0.0
