,CALE MAKAR,GABRIEL LANDESKOG,ANDRE BURAKOVSKY,NATHAN MACKINNON,MIKKO RANTANEN
CALE MAKAR,0.0,14.0,11.0,18.0,13.0
GABRIEL LANDESKOG,14.0,0.0,2.0,33.0,36.0
ANDRE BURAKOVSKY,11.0,2.0,0.0,8.0,7.0
NATHAN MACKINNON,18.0,33.0,8.0,0.0,44.0
MIKKO RANTANEN,13.0,36.0,7.0,44.0,0.0
