,JASON SPEZZA,WILLIAM NYLANDER,JOHN TAVARES,MITCHELL MARNER,AUSTON MATTHEWS
JASON SPEZZA,0.0,9.0,2.0,0.0,2.0
WILLIAM NYLANDER,9.0,0.0,34.0,4.0,11.0
JOHN TAVARES,2.0,34.0,0.0,12.0,8.0
MITCHELL MARNER,0.0,4.0,12.0,0.0,60.0
AUSTON MATTHEWS,2.0,11.0,8.0,60.0,0.0
