,MIKE HOFFMAN,JORDAN KYROU,BRAYDEN SCHENN,RYAN O'REILLY,DAVID PERRON
MIKE HOFFMAN,0.0,3.0,9.0,8.0,17.0
JORDAN KYROU,3.0,0.0,11.0,11.0,6.0
BRAYDEN SCHENN,9.0,11.0,0.0,18.0,19.0
RYAN O'REILLY,8.0,11.0,18.0,0.0,24.0
DAVID PERRON,17.0,6.0,19.0,24.0,0.0
