,JOSH ANDERSON,TOMAS TATAR,JEFF PETRY,NICK SUZUKI,TYLER TOFFOLI
JOSH ANDERSON,0.0,4.0,4.0,17.0,4.0
TOMAS TATAR,4.0,0.0,10.0,0.0,0.0
JEFF PETRY,4.0,10.0,0.0,9.0,9.0
NICK SUZUKI,17.0,0.0,9.0,0.0,19.0
TYLER TOFFOLI,4.0,0.0,9.0,19.0,0.0
