,BRYAN LITTLE,PATRIK LAINE,KYLE CONNOR,MARK SCHEIFELE,BLAKE WHEELER
BRYAN LITTLE,0.0,17.0,7.0,2.0,2.0
PATRIK LAINE,17.0,0.0,26.0,16.0,37.0
KYLE CONNOR,7.0,26.0,0.0,31.0,38.0
MARK SCHEIFELE,2.0,16.0,31.0,0.0,58.0
BLAKE WHEELER,2.0,37.0,38.0,58.0,0.0
