,ALEXANDER EDLER,ANTOINE ROUSSEL,BO HORVAT,BROCK BOESER,ELIAS PETTERSSON
ALEXANDER EDLER,0.0,0.0,18.0,17.0,14.0
ANTOINE ROUSSEL,0.0,0.0,16.0,3.0,2.0
BO HORVAT,18.0,16.0,0.0,10.0,17.0
BROCK BOESER,17.0,3.0,10.0,0.0,38.0
ELIAS PETTERSSON,14.0,2.0,17.0,38.0,0.0
