,PHILLIP DANAULT,BRENDAN GALLAGHER,TOMAS TATAR,JONATHAN DROUIN,MAX DOMI
PHILLIP DANAULT,0.0,23.0,17.0,7.0,4.0
BRENDAN GALLAGHER,23.0,0.0,33.0,8.0,6.0
TOMAS TATAR,17.0,33.0,0.0,7.0,12.0
JONATHAN DROUIN,7.0,8.0,7.0,0.0,27.0
MAX DOMI,4.0,6.0,12.0,27.0,0.0
