,JASON POMINVILLE,RASMUS RISTOLAINEN,SAM REINHART,JEFF SKINNER,JACK EICHEL
JASON POMINVILLE,0.0,0.0,0.0,18.0,18.0
RASMUS RISTOLAINEN,0.0,0.0,9.0,11.0,16.0
SAM REINHART,0.0,9.0,0.0,24.0,33.0
JEFF SKINNER,18.0,11.0,24.0,0.0,49.0
JACK EICHEL,18.0,16.0,33.0,49.0,0.0
