,DOUGIE HAMILTON,MICHEAL FERLAND,JUSTIN WILLIAMS,TEUVO TERAVAINEN,SEBASTIAN AHO
DOUGIE HAMILTON,0.0,8.0,12.0,12.0,5.0
MICHEAL FERLAND,8.0,0.0,6.0,20.0,26.0
JUSTIN WILLIAMS,12.0,6.0,0.0,8.0,19.0
TEUVO TERAVAINEN,12.0,20.0,8.0,0.0,38.0
SEBASTIAN AHO,5.0,26.0,19.0,38.0,0.0
