,JARED SPURGEON,JASON ZUCKER,ERIC STAAL,MIKAEL GRANLUND,ZACH PARISE
JARED SPURGEON,0.0,10.0,10.0,5.0,16.0
JASON ZUCKER,10.0,0.0,27.0,18.0,5.0
ERIC STAAL,10.0,27.0,0.0,26.0,4.0
MIKAEL GRANLUND,5.0,18.0,26.0,0.0,11.0
ZACH PARISE,16.0,5.0,4.0,11.0,0.0
