,TYLER BERTUZZI,GUSTAV NYQUIST,ANTHONY MANTHA,ANDREAS ATHANASIOU,DYLAN LARKIN
TYLER BERTUZZI,0.0,12.0,10.0,7.0,25.0
GUSTAV NYQUIST,12.0,0.0,6.0,5.0,29.0
ANTHONY MANTHA,10.0,6.0,0.0,20.0,29.0
ANDREAS ATHANASIOU,7.0,5.0,20.0,0.0,8.0
DYLAN LARKIN,25.0,29.0,29.0,8.0,0.0
