,TIMO MEIER,LOGAN COUTURE,JOE PAVELSKI,BRENT BURNS,TOMAS HERTL
TIMO MEIER,0.0,28.0,22.0,14.0,18.0
LOGAN COUTURE,28.0,0.0,22.0,12.0,28.0
JOE PAVELSKI,22.0,22.0,0.0,34.0,18.0
BRENT BURNS,14.0,12.0,34.0,0.0,13.0
TOMAS HERTL,18.0,28.0,18.0,13.0,0.0
