,NICK RITCHIE,RYAN GETZLAF,ADAM HENRIQUE,JAKOB SILFVERBERG,RICKARD RAKELL
NICK RITCHIE,0.0,6.0,12.0,2.0,6.0
RYAN GETZLAF,6.0,0.0,8.0,1.0,16.0
ADAM HENRIQUE,12.0,8.0,0.0,9.0,10.0
JAKOB SILFVERBERG,2.0,1.0,9.0,0.0,21.0
RICKARD RAKELL,6.0,16.0,10.0,21.0,0.0
