,JORDAN EBERLE,BROCK NELSON,ANDERS LEE,MATHEW BARZAL,JOSH BAILEY
JORDAN EBERLE,0.0,22.0,25.0,16.0,4.0
BROCK NELSON,22.0,0.0,17.0,6.0,18.0
ANDERS LEE,25.0,17.0,0.0,17.0,16.0
MATHEW BARZAL,16.0,6.0,17.0,0.0,16.0
JOSH BAILEY,4.0,18.0,16.0,16.0,0.0
