,ZACK KASSIAN,ALEX CHIASSON,RYAN NUGENT-HOPKINS,LEON DRAISAITL,CONNOR MCDAVID
ZACK KASSIAN,0.0,0.0,0.0,13.0,18.0
ALEX CHIASSON,0.0,0.0,10.0,20.0,24.0
RYAN NUGENT-HOPKINS,0.0,10.0,0.0,23.0,32.0
LEON DRAISAITL,13.0,20.0,23.0,0.0,82.0
CONNOR MCDAVID,18.0,24.0,32.0,82.0,0.0
