,PAUL STASTNY,ALEX TUCH,MAX PACIORETTY,CODY EAKIN,JONATHAN MARCHESSAULT,REILLY SMITH,WILLIAM KARLSSON
PAUL STASTNY,0.0,17.0,20.0,0.0,0.0,4.0,2.0
ALEX TUCH,0.0,0.0,19.0,12.0,6.0,0.0,3.0
MAX PACIORETTY,0.0,0.0,0.0,10.0,8.0,8.0,0.0
CODY EAKIN,0.0,0.0,0.0,0.0,0.0,2.0,1.0
JONATHAN MARCHESSAULT,0.0,0.0,0.0,0.0,0.0,34.0,30.0
REILLY SMITH,0.0,0.0,0.0,0.0,0.0,0.0,18.0
WILLIAM KARLSSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0
