,NAZEM KADRI,TYLER BOZAK,JOFFREY LUPUL,JAMES VAN RIEMSDYK,PHIL KESSEL
NAZEM KADRI,0.0,0.0,24.0,6.0,14.0
TYLER BOZAK,0.0,0.0,2.0,23.0,39.0
JOFFREY LUPUL,24.0,2.0,0.0,4.0,4.0
JAMES VAN RIEMSDYK,6.0,23.0,4.0,0.0,58.0
PHIL KESSEL,14.0,39.0,4.0,58.0,0.0
