,EVANDER KANE,OLLI JOKINEN,ANDREW LADD,BRYAN LITTLE,BLAKE WHEELER
EVANDER KANE,0.0,11.0,0.0,10.0,10.0
OLLI JOKINEN,11.0,0.0,3.0,3.0,9.0
ANDREW LADD,0.0,3.0,0.0,47.0,19.0
BRYAN LITTLE,10.0,3.0,47.0,0.0,20.0
BLAKE WHEELER,10.0,9.0,19.0,20.0,0.0
