,DANY HEATLEY,NINO NIEDERREITER,MIKKO KOIVU,ZACH PARISE,JASON POMINVILLE
DANY HEATLEY,0.0,8.0,2.0,8.0,3.0
NINO NIEDERREITER,8.0,0.0,5.0,2.0,10.0
MIKKO KOIVU,2.0,5.0,0.0,32.0,18.0
ZACH PARISE,8.0,2.0,32.0,0.0,34.0
JASON POMINVILLE,3.0,10.0,18.0,34.0,0.0
