,ALEX GOLIGOSKI,RYAN GARBUTT,VALERI NICHUSHKIN,JAMIE BENN,TYLER SEGUIN
ALEX GOLIGOSKI,0.0,7.0,3.0,11.0,12.0
RYAN GARBUTT,7.0,0.0,0.0,2.0,2.0
VALERI NICHUSHKIN,3.0,0.0,0.0,18.0,26.0
JAMIE BENN,11.0,2.0,18.0,0.0,77.0
TYLER SEGUIN,12.0,2.0,26.0,77.0,0.0
