,VLADIMIR TARASENKO,DAVID BACKES,JADEN SCHWARTZ,ALEXANDER STEEN,TJ OSHIE
VLADIMIR TARASENKO,0.0,2.0,20.0,2.0,6.0
DAVID BACKES,2.0,0.0,6.0,36.0,23.0
JADEN SCHWARTZ,20.0,6.0,0.0,14.0,14.0
ALEXANDER STEEN,2.0,36.0,14.0,0.0,34.0
TJ OSHIE,6.0,23.0,14.0,34.0,0.0
