,JUSSI JOKINEN,JAMES NEAL,CHRIS KUNITZ,EVGENI MALKIN,SIDNEY CROSBY
JUSSI JOKINEN,0.0,16.0,8.0,27.0,14.0
JAMES NEAL,16.0,0.0,13.0,40.0,17.0
CHRIS KUNITZ,8.0,13.0,0.0,10.0,71.0
EVGENI MALKIN,27.0,40.0,10.0,0.0,25.0
SIDNEY CROSBY,14.0,17.0,71.0,25.0,0.0
