,ANDREI MARKOV,TOMAS PLEKANEC,BRIAN GIONTA,DAVID DESHARNAIS,MAX PACIORETTY
ANDREI MARKOV,0.0,10.0,4.0,5.0,13.0
TOMAS PLEKANEC,10.0,0.0,29.0,1.0,0.0
BRIAN GIONTA,4.0,29.0,0.0,1.0,1.0
DAVID DESHARNAIS,5.0,1.0,1.0,0.0,38.0
MAX PACIORETTY,13.0,0.0,1.0,38.0,0.0
