,JOSH BAILEY,THOMAS VANEK,JOHN TAVARES,KYLE OKPOSO,FRANS NIELSEN
JOSH BAILEY,0.0,0.0,4.0,4.0,15.0
THOMAS VANEK,0.0,0.0,33.0,29.0,11.0
JOHN TAVARES,4.0,33.0,0.0,43.0,13.0
KYLE OKPOSO,4.0,29.0,43.0,0.0,17.0
FRANS NIELSEN,15.0,11.0,13.0,17.0,0.0
