,BRENT BURNS,LOGAN COUTURE,JOE THORNTON,PATRICK MARLEAU,JOE PAVELSKI
BRENT BURNS,0.0,6.0,36.0,6.0,32.0
LOGAN COUTURE,6.0,0.0,5.0,39.0,4.0
JOE THORNTON,36.0,5.0,0.0,10.0,38.0
PATRICK MARLEAU,6.0,39.0,10.0,0.0,27.0
JOE PAVELSKI,32.0,4.0,38.0,27.0,0.0
