,MIKHAIL GRABOVSKI,TROY BROUWER,MARCUS JOHANSSON,NICKLAS BACKSTROM,ALEX OVECHKIN
MIKHAIL GRABOVSKI,0.0,11.0,0.0,7.0,12.0
TROY BROUWER,11.0,0.0,20.0,26.0,11.0
MARCUS JOHANSSON,0.0,20.0,0.0,12.0,35.0
NICKLAS BACKSTROM,7.0,26.0,12.0,0.0,48.0
ALEX OVECHKIN,12.0,11.0,35.0,48.0,0.0
