,MARK GIORDANO,MATT STAJAN,SEAN MONAHAN,MIKE CAMMALLERI,JIRI HUDLER
MARK GIORDANO,0.0,3.0,2.0,18.0,17.0
MATT STAJAN,3.0,0.0,0.0,2.0,11.0
SEAN MONAHAN,2.0,0.0,0.0,6.0,13.0
MIKE CAMMALLERI,18.0,2.0,6.0,0.0,11.0
JIRI HUDLER,17.0,11.0,13.0,11.0,0.0
