,MAREK ZIDLICKY,ADAM HENRIQUE,TRAVIS ZAJAC,PATRIK ELIAS,JAROMIR JAGR
MAREK ZIDLICKY,0.0,6.0,12.0,12.0,15.0
ADAM HENRIQUE,6.0,0.0,2.0,11.0,9.0
TRAVIS ZAJAC,12.0,2.0,0.0,11.0,33.0
PATRIK ELIAS,12.0,11.0,11.0,0.0,21.0
JAROMIR JAGR,15.0,9.0,33.0,21.0,0.0
