,BRANDON SAAD,MARIAN HOSSA,PATRICK KANE,JONATHAN TOEWS,PATRICK SHARP
BRANDON SAAD,0.0,8.0,12.0,10.0,1.0
MARIAN HOSSA,8.0,0.0,8.0,32.0,32.0
PATRICK KANE,12.0,8.0,0.0,22.0,25.0
JONATHAN TOEWS,10.0,32.0,22.0,0.0,46.0
PATRICK SHARP,1.0,32.0,25.0,46.0,0.0
