name,id,mean_duration,mean_game,total,game_played
RICK DIPIETRO,8468481,752.5714285714286,58.53333333333333,175.6,3
DANY HEATLEY,8468482,47.32033096926714,18.5337962962963,667.2166666666667,36
MARIAN GABORIK,8468483,49.643536121673,18.519503546099294,870.4166666666666,47
ROSTISLAV KLESLA,8468484,43.54279523293608,17.62719298245614,669.8333333333334,38
MICHAEL STONE,8474628,46.19146482122261,16.686666666666667,667.4666666666667,40
SCOTT HARTNELL,8468486,46.88135593220339,15.846875,507.1,32
RAFFI TORRES,8468485,43.186369958275385,13.26965811965812,517.5166666666667,39
JIMMY HAYES,8474625,45.02094240837696,14.331666666666667,143.31666666666666,10
SHAWN LALONDE,8474629,44.35,14.783333333333333,14.783333333333333,1
RON HAINSEY,8468493,52.624489795918365,22.859929078014186,1074.4166666666667,47
CHRIS KUNITZ,8470543,53.07157464212679,18.022222222222222,865.0666666666667,48
ADAM HENRIQUE,8474641,44.644100580270795,18.318253968253966,769.3666666666667,42
BROOKS ORPIK,8468498,52.760720411663804,22.289492753623186,1025.3166666666666,46
ANTON VOLCHENKOV,8468501,44.15985130111524,16.052702702702703,593.95,37
BRANDON MCMILLAN,8474646,37.91566265060241,8.741666666666667,52.45,6
BRAD BOYES,8468504,52.23804780876494,18.210763888888888,874.1166666666667,48
STEVE OTT,8468505,48.9441391941392,18.557986111111113,890.7833333333333,48
TOMAS KUNDRATEK,8474649,48.436,16.145333333333333,403.6333333333333,25
BRADEN HOLTBY,8474651,949.6515151515151,58.03425925925926,2089.233333333333,36
JUSTIN WILLIAMS,8468508,46.55661274976213,16.989930555555556,815.5166666666667,48
NIKLAS KRONWALL,8468509,48.68979875086745,24.361805555555556,1169.3666666666666,48
NICK SCHULTZ,8468513,43.76916802610114,18.632291666666667,894.35,48
MICHAL JORDAN,8474661,40.58227848101266,10.686666666666667,53.43333333333333,5
TOMAS KOPECKY,8468518,43.557205240174675,17.6854609929078,831.2166666666667,47
KURTIS FOSTER,8468520,38.685224839400426,13.091304347826087,301.1,23
DAVID ULLSTROM,8474666,38.12040133779264,9.498333333333333,189.96666666666667,20
ILYA BRYZGALOV,8468524,937.8571428571429,57.44375,2297.75,40
DALE WEISE,8474668,38.285475792988315,9.555416666666668,382.21666666666664,40
JARRET STOLL,8468526,41.73070175438596,16.518402777777776,792.8833333333333,48
TJ BRODIE,8474673,46.730327868852456,20.216666666666665,950.1833333333333,47
RYANE CLOWE,8469622,46.579929988331386,16.632916666666667,665.3166666666667,40
JAMES WRIGHT,8474674,44.44705882352941,11.599122807017544,440.76666666666665,38
ANDREAS LILJA,8468534,43.30107526881721,16.779166666666665,67.11666666666666,4
ANTOINE VERMETTE,8468535,44.98972602739726,18.245833333333334,875.8,48
GUSTAV NYQUIST,8474679,44.822916666666664,13.039393939393939,286.8666666666667,22
ANDREI LOKTIONOV,8474681,45.2703213610586,14.254761904761905,399.1333333333333,28
DEREK GRANT,8474683,40.609375,8.663333333333332,43.31666666666667,5
DAN ELLIS,8468540,957.0666666666667,50.371929824561406,957.0666666666667,19
MATT CALVERT,8474685,42.03764705882353,14.17936507936508,595.5333333333333,42
PAUL MARTIN,8468542,56.58598028477547,25.325,861.05,34
GREG PATERYN,8474688,43.2,9.6,28.8,3
MARC-ANDRE FLEURY,8470594,1032.0833333333333,56.29545454545454,1857.75,33
ERIC STAAL,8470595,47.83860759493671,20.995833333333334,1007.8,48
NATHAN HORTON,8470596,49.927669345579794,16.85542635658915,724.7833333333333,43
KEVIN POULIN,8474690,1030.4666666666667,51.52333333333333,257.6166666666667,5
THOMAS VANEK,8470598,52.390761548064916,18.405701754385966,699.4166666666666,38
MILAN MICHALEK,8470599,45.89396709323583,18.191304347826087,418.4,23
RYAN SUTER,8470600,52.85868102288021,27.273611111111112,1309.1333333333334,48
BRAYDON COBURN,8470601,46.356107660455486,22.616161616161616,746.3333333333334,33
DION PHANEUF,8470602,47.80026367831246,25.178125,1208.55,48
MARK BOROWIECKI,8474697,37.733870967741936,12.997222222222224,77.98333333333333,6
JEFF CARTER,8470604,44.880319148936174,17.578125,843.75,48
ANDREW ALBERTS,8469626,44.157575757575756,15.179166666666667,364.3,24
DUSTIN BROWN,8470606,47.58974358974359,19.501449275362322,897.0666666666667,46
BRENT SEABROOK,8470607,47.140577507598785,21.998936170212765,1033.95,47
STEVE BERNIER,8470609,42.093275488069416,13.76241134751773,646.8333333333334,47
ZACH PARISE,8470610,47.31319554848967,20.666666666666668,992.0,48
PHILIP LARSEN,8474707,41.76900584795322,14.880208333333334,476.1666666666667,32
