,MARTIN ERAT,SHANE DOAN,ANTOINE VERMETTE,OLIVER EKMAN-LARSSON,SAM GAGNER
MARTIN ERAT,0.0,5.0,1.0,9.0,16.0
SHANE DOAN,5.0,0.0,16.0,10.0,4.0
ANTOINE VERMETTE,1.0,16.0,0.0,11.0,0.0
OLIVER EKMAN-LARSSON,9.0,10.0,11.0,0.0,15.0
SAM GAGNER,16.0,4.0,0.0,15.0,0.0
