,MARK STREIT,BRAYDEN SCHENN,WAYNE SIMMONDS,CLAUDE GIROUX,JAKUB VORACEK
MARK STREIT,0.0,13.0,21.0,31.0,17.0
BRAYDEN SCHENN,13.0,0.0,17.0,12.0,27.0
WAYNE SIMMONDS,21.0,17.0,0.0,23.0,16.0
CLAUDE GIROUX,31.0,12.0,23.0,0.0,53.0
JAKUB VORACEK,17.0,27.0,16.0,53.0,0.0
