,JUSSI JOKINEN,JIMMY HAYES,BRAD BOYES,NICK BJUGSTAD,JONATHAN HUBERDEAU
JUSSI JOKINEN,0.0,11.0,14.0,9.0,0.0
JIMMY HAYES,11.0,0.0,0.0,16.0,2.0
BRAD BOYES,14.0,0.0,0.0,5.0,12.0
NICK BJUGSTAD,9.0,16.0,5.0,0.0,17.0
JONATHAN HUBERDEAU,0.0,2.0,12.0,17.0,0.0
