,VICTOR RASK,JEFF SKINNER,JUSTIN FAULK,ELIAS LINDHOLM,ERIC STAAL
VICTOR RASK,0.0,5.0,12.0,11.0,3.0
JEFF SKINNER,5.0,0.0,4.0,10.0,8.0
JUSTIN FAULK,12.0,4.0,0.0,11.0,14.0
ELIAS LINDHOLM,11.0,10.0,11.0,0.0,19.0
ERIC STAAL,3.0,8.0,14.0,19.0,0.0
