,JUSTIN WILLIAMS,TYLER TOFFOLI,MARIAN GABORIK,ANZE KOPITAR,JEFF CARTER
JUSTIN WILLIAMS,0.0,2.0,13.0,9.0,1.0
TYLER TOFFOLI,2.0,0.0,2.0,3.0,31.0
MARIAN GABORIK,13.0,2.0,0.0,42.0,13.0
ANZE KOPITAR,9.0,3.0,42.0,0.0,16.0
JEFF CARTER,1.0,31.0,13.0,16.0,0.0
