,CARL SODERBERG,MILAN LUCIC,LOUI ERIKSSON,BRAD MARCHAND,PATRICE BERGERON
CARL SODERBERG,0.0,3.0,26.0,2.0,6.0
MILAN LUCIC,3.0,0.0,4.0,2.0,7.0
LOUI ERIKSSON,26.0,4.0,0.0,4.0,9.0
BRAD MARCHAND,2.0,2.0,4.0,0.0,27.0
PATRICE BERGERON,6.0,7.0,9.0,27.0,0.0
