,ALEX TANGUAY,RYAN O'REILLY,GABRIEL LANDESKOG,MATT DUCHENE,JAROME IGINLA
ALEX TANGUAY,0.0,18.0,10.0,10.0,29.0
RYAN O'REILLY,18.0,0.0,32.0,7.0,4.0
GABRIEL LANDESKOG,10.0,32.0,0.0,2.0,17.0
MATT DUCHENE,10.0,7.0,2.0,0.0,30.0
JAROME IGINLA,29.0,4.0,17.0,30.0,0.0
