,TROY BROUWER,EVGENY KUZNETSOV,JOHN CARLSON,NICKLAS BACKSTROM,ALEX OVECHKIN
TROY BROUWER,0.0,12.0,7.0,12.0,14.0
EVGENY KUZNETSOV,12.0,0.0,6.0,0.0,9.0
JOHN CARLSON,7.0,6.0,0.0,19.0,19.0
NICKLAS BACKSTROM,12.0,0.0,19.0,0.0,57.0
ALEX OVECHKIN,14.0,9.0,19.0,57.0,0.0
