,PK SUBBAN,ALEX GALCHENYUK,BRENDAN GALLAGHER,TOMAS PLEKANEC,MAX PACIORETTY
PK SUBBAN,0.0,17.0,8.0,11.0,19.0
ALEX GALCHENYUK,17.0,0.0,17.0,20.0,9.0
BRENDAN GALLAGHER,8.0,17.0,0.0,27.0,25.0
TOMAS PLEKANEC,11.0,20.0,27.0,0.0,16.0
MAX PACIORETTY,19.0,9.0,25.0,16.0,0.0
