,ANDERS LEE,FRANS NIELSEN,KYLE OKPOSO,RYAN STROME,JOHN TAVARES
ANDERS LEE,0.0,6.0,0.0,17.0,16.0
FRANS NIELSEN,6.0,0.0,5.0,8.0,10.0
KYLE OKPOSO,0.0,5.0,0.0,0.0,43.0
RYAN STROME,17.0,8.0,0.0,0.0,13.0
JOHN TAVARES,16.0,10.0,43.0,13.0,0.0
