,JUSTIN ABDELKADER,HENRIK ZETTERBERG,TOMAS TATAR,GUSTAV NYQUIST,PAVEL DATSYUK
JUSTIN ABDELKADER,0.0,31.0,2.0,18.0,13.0
HENRIK ZETTERBERG,31.0,0.0,5.0,30.0,23.0
TOMAS TATAR,2.0,5.0,0.0,11.0,24.0
GUSTAV NYQUIST,18.0,30.0,11.0,0.0,7.0
PAVEL DATSYUK,13.0,23.0,24.0,7.0,0.0
