,PATRICK MARLEAU,BRENT BURNS,JOE THORNTON,LOGAN COUTURE,JOE PAVELSKI
PATRICK MARLEAU,0.0,20.0,11.0,33.0,23.0
BRENT BURNS,20.0,0.0,20.0,19.0,27.0
JOE THORNTON,11.0,20.0,0.0,7.0,48.0
LOGAN COUTURE,33.0,19.0,7.0,0.0,22.0
JOE PAVELSKI,23.0,27.0,48.0,22.0,0.0
