,BRANDON DUBINSKY,CAM ATKINSON,SCOTT HARTNELL,NICK FOLIGNO,RYAN JOHANSEN
BRANDON DUBINSKY,0.0,3.0,1.0,12.0,2.0
CAM ATKINSON,3.0,0.0,11.0,10.0,23.0
SCOTT HARTNELL,1.0,11.0,0.0,16.0,22.0
NICK FOLIGNO,12.0,10.0,16.0,0.0,36.0
RYAN JOHANSEN,2.0,23.0,22.0,36.0,0.0
