,BOBBY RYAN,RYAN DZINGEL,BRADY TKACHUK,MATT DUCHENE,MARK STONE
BOBBY RYAN,0.0,17.0,5.0,18.0,7.0
RYAN DZINGEL,17.0,0.0,1.0,11.0,10.0
BRADY TKACHUK,5.0,1.0,0.0,0.0,17.0
MATT DUCHENE,18.0,11.0,0.0,0.0,26.0
MARK STONE,7.0,10.0,17.0,26.0,0.0
