,KRIS LETANG,EVGENI MALKIN,JAKE GUENTZEL,PHIL KESSEL,SIDNEY CROSBY
KRIS LETANG,0.0,26.0,17.0,13.0,19.0
EVGENI MALKIN,26.0,0.0,2.0,53.0,19.0
JAKE GUENTZEL,17.0,2.0,0.0,14.0,63.0
PHIL KESSEL,13.0,53.0,14.0,0.0,37.0
SIDNEY CROSBY,19.0,19.0,63.0,37.0,0.0
