,JAMES VAN RIEMSDYK,TRAVIS KONECNY,JAKUB VORACEK,CLAUDE GIROUX,SEAN COUTURIER
JAMES VAN RIEMSDYK,0.0,12.0,15.0,23.0,19.0
TRAVIS KONECNY,12.0,0.0,0.0,16.0,23.0
JAKUB VORACEK,15.0,0.0,0.0,18.0,23.0
CLAUDE GIROUX,23.0,16.0,18.0,0.0,40.0
SEAN COUTURIER,19.0,23.0,23.0,40.0,0.0
