,CRAIG SMITH,ROMAN JOSI,VIKTOR ARVIDSSON,FILIP FORSBERG,RYAN JOHANSEN
CRAIG SMITH,0.0,6.0,3.0,6.0,10.0
ROMAN JOSI,6.0,0.0,8.0,12.0,18.0
VIKTOR ARVIDSSON,3.0,8.0,0.0,23.0,37.0
FILIP FORSBERG,6.0,12.0,23.0,0.0,33.0
RYAN JOHANSEN,10.0,18.0,37.0,33.0,0.0
