,MAX PACIORETTY,CODY EAKIN,JONATHAN MARCHESSAULT,REILLY SMITH,WILLIAM KARLSSON
MAX PACIORETTY,0.0,10.0,8.0,8.0,0.0
CODY EAKIN,10.0,0.0,0.0,2.0,1.0
JONATHAN MARCHESSAULT,8.0,0.0,0.0,34.0,30.0
REILLY SMITH,8.0,2.0,34.0,0.0,18.0
WILLIAM KARLSSON,0.0,1.0,30.0,18.0,0.0
