,TYLER TOFFOLI,DREW DOUGHTY,ILYA KOVALCHUK,DUSTIN BROWN,ANZE KOPITAR
TYLER TOFFOLI,0.0,8.0,7.0,2.0,5.0
DREW DOUGHTY,8.0,0.0,7.0,18.0,13.0
ILYA KOVALCHUK,7.0,7.0,0.0,8.0,17.0
DUSTIN BROWN,2.0,18.0,8.0,0.0,39.0
ANZE KOPITAR,5.0,13.0,17.0,39.0,0.0
