,OLIVER BJORKSTRAND,JOSH ANDERSON,PIERRE-LUC DUBOIS,CAM ATKINSON,ARTEMI PANARIN
OLIVER BJORKSTRAND,0.0,6.0,5.0,2.0,6.0
JOSH ANDERSON,6.0,0.0,6.0,0.0,6.0
PIERRE-LUC DUBOIS,5.0,6.0,0.0,31.0,32.0
CAM ATKINSON,2.0,0.0,31.0,0.0,43.0
ARTEMI PANARIN,6.0,6.0,32.0,43.0,0.0
