,YANNI GOURDE,TYLER JOHNSON,BRAYDEN POINT,STEVEN STAMKOS,NIKITA KUCHEROV
YANNI GOURDE,0.0,3.0,26.0,10.0,6.0
TYLER JOHNSON,3.0,0.0,28.0,10.0,40.0
BRAYDEN POINT,26.0,28.0,0.0,33.0,69.0
STEVEN STAMKOS,10.0,10.0,33.0,0.0,68.0
NIKITA KUCHEROV,6.0,40.0,69.0,68.0,0.0
