,KEITH YANDLE,EVGENY DADONOV,MIKE HOFFMAN,JONATHAN HUBERDEAU,ALEKSANDER BARKOV
KEITH YANDLE,0.0,11.0,36.0,27.0,29.0
EVGENY DADONOV,11.0,0.0,13.0,37.0,41.0
MIKE HOFFMAN,36.0,13.0,0.0,33.0,33.0
JONATHAN HUBERDEAU,27.0,37.0,33.0,0.0,44.0
ALEKSANDER BARKOV,29.0,41.0,33.0,44.0,0.0
