,ANDREAS JOHNSSON,MORGAN RIELLY,AUSTON MATTHEWS,JOHN TAVARES,MITCHELL MARNER
ANDREAS JOHNSSON,0.0,5.0,24.0,8.0,6.0
MORGAN RIELLY,5.0,0.0,30.0,34.0,17.0
AUSTON MATTHEWS,24.0,30.0,0.0,17.0,19.0
JOHN TAVARES,8.0,34.0,17.0,0.0,67.0
MITCHELL MARNER,6.0,17.0,19.0,67.0,0.0
