,TJ OSHIE,JOHN CARLSON,EVGENY KUZNETSOV,NICKLAS BACKSTROM,ALEX OVECHKIN
TJ OSHIE,0.0,19.0,17.0,21.0,29.0
JOHN CARLSON,19.0,0.0,12.0,24.0,37.0
EVGENY KUZNETSOV,17.0,12.0,0.0,18.0,35.0
NICKLAS BACKSTROM,21.0,24.0,18.0,0.0,38.0
ALEX OVECHKIN,29.0,37.0,35.0,38.0,0.0
